        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-04-20 13:02:09 ,        2490.0   ,           2062.7   ,               56.6   ,        62.5   ,                47   ,                  1546   ,                47   ,                  1548   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              104.4   ,                  56.9   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9900   ,               50.0   ,                  7122   ,
2024-04-20 13:02:10 ,        2520.0   ,           2062.7   ,               56.8   ,        62.7   ,                47   ,                  1548   ,                47   ,                  1548   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              107.9   ,                  60.4   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               48.0   ,                  7134   ,
2024-04-20 13:02:11 ,        2520.0   ,           2062.7   ,               57.8   ,        64.7   ,                47   ,                  1548   ,                47   ,                  1549   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              107.0   ,                  59.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               49.0   ,                  7131   ,
2024-04-20 13:02:12 ,        2565.0   ,           2062.7   ,               58.0   ,        64.9   ,                47   ,                  1547   ,                47   ,                  1548   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              127.0   ,                  79.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               49.0   ,                  7128   ,
2024-04-20 13:02:13 ,        2565.0   ,           2062.7   ,               58.3   ,        65.5   ,                47   ,                  1547   ,                47   ,                  1548   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              112.8   ,                  65.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               50.0   ,                  7128   ,
2024-04-20 13:02:14 ,        2565.0   ,           2062.7   ,               58.3   ,        65.3   ,                47   ,                  1548   ,                47   ,                  1547   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              129.0   ,                  81.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9600   ,               50.0   ,                  7125   ,
2024-04-20 13:02:15 ,        2550.0   ,           2062.7   ,               57.2   ,        63.3   ,                47   ,                  1548   ,                47   ,                  1548   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              126.3   ,                  78.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               50.0   ,                  7125   ,
2024-04-20 13:02:16 ,        2610.0   ,           2062.7   ,               58.3   ,        65.3   ,                47   ,                  1549   ,                47   ,                  1550   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              122.3   ,                  74.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               51.0   ,                  7125   ,
2024-04-20 13:02:17 ,        2580.0   ,           2062.7   ,               59.2   ,        68.8   ,                47   ,                  1549   ,                47   ,                  1552   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              121.4   ,                  73.9   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               49.0   ,                  7126   ,
2024-04-20 13:02:18 ,        2550.0   ,           2062.7   ,               58.5   ,        66.5   ,                47   ,                  1551   ,                47   ,                  1550   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              123.8   ,                  76.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9900   ,               48.0   ,                  7124   ,
2024-04-20 13:02:19 ,        2490.0   ,           2062.7   ,               57.4   ,        63.9   ,                47   ,                  1551   ,                47   ,                  1549   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              123.7   ,                  76.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9400   ,               49.0   ,                  7121   ,
2024-04-20 13:02:20 ,        2475.0   ,           2062.7   ,               58.0   ,        66.2   ,                47   ,                  1548   ,                47   ,                  1550   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              114.8   ,                  67.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9600   ,               48.0   ,                  7124   ,
2024-04-20 13:02:21 ,        2505.0   ,           2062.7   ,               58.3   ,        66.3   ,                47   ,                  1549   ,                47   ,                  1551   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              114.5   ,                  67.0   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               48.0   ,                  7125   ,
2024-04-20 13:02:22 ,        2520.0   ,           2062.7   ,               59.4   ,        70.4   ,                47   ,                  1549   ,                47   ,                  1552   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              111.2   ,                  63.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               47.0   ,                  7126   ,
2024-04-20 13:02:23 ,        2490.0   ,           2062.7   ,               59.9   ,        69.8   ,                47   ,                  1549   ,                47   ,                  1551   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              107.5   ,                  60.0   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9700   ,               49.0   ,                  7123   ,
2024-04-20 13:02:24 ,        2490.0   ,           2062.7   ,               58.4   ,        66.4   ,                47   ,                  1551   ,                47   ,                  1551   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              107.2   ,                  59.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               48.0   ,                  7124   ,
2024-04-20 13:02:25 ,        2475.0   ,           2062.7   ,               59.6   ,        68.7   ,                47   ,                  1549   ,                47   ,                  1550   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              111.8   ,                  64.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9850   ,               49.0   ,                  7124   ,
2024-04-20 13:02:26 ,        2475.0   ,           2062.7   ,               58.3   ,        66.2   ,                47   ,                  1551   ,                47   ,                  1550   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              110.7   ,                  63.2   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9700   ,               49.0   ,                  7121   ,
2024-04-20 13:02:27 ,        2505.0   ,           2062.7   ,               57.0   ,        63.0   ,                47   ,                  1553   ,                47   ,                  1552   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              113.6   ,                  66.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               46.0   ,                  7123   ,
2024-04-20 13:02:28 ,        2520.0   ,           2062.7   ,               58.1   ,        65.4   ,                47   ,                  1552   ,                47   ,                  1552   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              120.3   ,                  72.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9700   ,               50.0   ,                  7124   ,
2024-04-20 13:02:29 ,        2520.0   ,           2062.7   ,               60.1   ,        71.3   ,                47   ,                  1553   ,                47   ,                  1553   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              117.0   ,                  69.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               49.0   ,                  7124   ,
2024-04-20 13:02:30 ,        2520.0   ,           2062.7   ,               56.6   ,        62.4   ,                47   ,                  1552   ,                47   ,                  1552   ,           5392   ,        100   ,                       97   ,                   0   ,                    0   ,              105.6   ,                  58.1   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               46.0   ,                  7125   ,
